,xmin,ymin,xmax,ymax,score,label
0,3632.37451171875,3633.669189453125,3994.532470703125,4000.0,0.7551472187042236,Tree
1,3137.673583984375,3205.3984375,3501.337890625,3626.59912109375,0.6805607676506042,Tree
2,2953.61474609375,3629.650146484375,3325.65673828125,3995.9609375,0.6223154067993164,Tree
3,3611.48193359375,2435.64794921875,3986.134033203125,2857.687744140625,0.6184535026550293,Tree
4,3353.4306640625,3779.2587890625,3622.0849609375,4000.0,0.6076105237007141,Tree
5,3524.830810546875,2963.768798828125,3800.687255859375,3258.104736328125,0.530083179473877,Tree
6,2643.680908203125,3555.488525390625,3006.258544921875,3987.998291015625,0.47115135192871094,Tree
7,3325.430908203125,2757.5185546875,3592.43017578125,3037.361328125,0.4702155888080597,Tree
8,3752.212158203125,3390.769287109375,3997.470947265625,3639.94921875,0.4618147611618042,Tree
9,3466.681396484375,3321.635009765625,3782.57421875,3660.731689453125,0.4590185880661011,Tree
10,2344.4111328125,3859.78759765625,2665.016357421875,3996.774658203125,0.3564780056476593,Tree
11,3828.46826171875,2946.952880859375,3995.428955078125,3308.21826171875,0.34420788288116455,Tree
12,2919.285888671875,3415.150146484375,3176.1865234375,3671.924072265625,0.3280513882637024,Tree
13,3779.886962890625,2065.806884765625,3994.436279296875,2460.561279296875,0.29945439100265503,Tree
14,3366.99755859375,3567.53466796875,3626.31640625,3793.92626953125,0.21837586164474487,Tree
15,3863.088134765625,2741.17822265625,3995.74560546875,2967.262939453125,0.20846113562583923,Tree
16,3107.729736328125,2942.11181640625,3401.215576171875,3233.083740234375,0.20654931664466858,Tree
17,2888.397216796875,3193.14111328125,3161.561279296875,3449.291259765625,0.2007451057434082,Tree
18,3592.8203125,2809.8779296875,3792.946533203125,3015.358642578125,0.20010197162628174,Tree
19,7410.824462890625,1114.5057373046875,7854.580078125,1563.6373291015625,0.8032376766204834,Tree
20,6142.59130859375,2210.18017578125,6458.4453125,2546.88916015625,0.7049868106842041,Tree
21,7505.272705078125,2694.69384765625,7998.979736328125,3201.416015625,0.6907038688659668,Tree
22,5339.921142578125,2158.27001953125,5682.21240234375,2519.555419921875,0.6871654987335205,Tree
23,5610.5108642578125,987.150390625,5986.3526611328125,1389.5538330078125,0.6838284730911255,Tree
24,6253.172119140625,2715.861572265625,6569.70947265625,3055.17333984375,0.6646820306777954,Tree
25,6993.1005859375,946.82470703125,7335.50341796875,1294.5875244140625,0.6530870199203491,Tree
26,6974.951171875,685.4676513671875,7265.40625,966.991943359375,0.6345572471618652,Tree
27,6537.91064453125,599.4305419921875,6834.501708984375,922.9757080078125,0.6304634213447571,Tree
28,5933.6143798828125,751.702392578125,6282.4873046875,1127.2794189453125,0.630317211151123,Tree
29,4827.2283935546875,3367.733154296875,5147.7833251953125,3719.876953125,0.6270873546600342,Tree
30,4936.441589355469,2301.984130859375,5301.1851806640625,2674.71826171875,0.6214014291763306,Tree
31,6194.397705078125,3071.82373046875,6537.01318359375,3434.271240234375,0.616630494594574,Tree
32,5865.620849609375,1670.327880859375,6189.621826171875,2009.6236572265625,0.613960325717926,Tree
33,6122.632080078125,1431.0296630859375,6491.1181640625,1796.964111328125,0.6111288070678711,Tree
34,5674.7152099609375,2312.87109375,5982.2359619140625,2648.185791015625,0.6101023554801941,Tree
35,4443.126647949219,2823.13720703125,4757.67919921875,3168.322998046875,0.6056936979293823,Tree
36,5431.7919921875,2724.66357421875,5794.5443115234375,3120.9423828125,0.6046990752220154,Tree
37,4184.164215087891,3001.266357421875,4477.206756591797,3338.156494140625,0.6024373769760132,Tree
38,4897.600524902344,2937.829833984375,5271.968994140625,3317.313232421875,0.5946574807167053,Tree
39,7024.86376953125,2357.71630859375,7337.898193359375,2700.671875,0.5945301055908203,Tree
40,6560.719482421875,998.0914306640625,6914.69384765625,1390.6025390625,0.5935158729553223,Tree
41,7392.14404296875,2017.8084716796875,7716.157470703125,2350.18359375,0.5915999412536621,Tree
