img_path,xmin,ymin,xmax,ymax,score,img_name,tile_index,tile_xmin,tile_ymin,tile_xmax,tile_ymax,x,y,Xmin,Ymin,Xmax,Ymax,X,Y,lon,lat
Manuel Macias RGB_9_9748_0_13748_4000.png,83.03704833984375,1660.0826416015625,685.4517211914062,2307.80078125,0.6672441363334656,Manuel Macias RGB,9,9748,0,13748,4000,384.244384765625,1983.9417114257812,9831.037048339844,1660.0826416015625,10433.451721191406,2307.80078125,10132.244384765625,1983.9417114257812,-79.59370670035035,-1.129381868902394
Manuel Macias RGB_9_9748_0_13748_4000.png,530.872314453125,2987.462158203125,1039.9727783203125,3531.4091796875,0.6118205785751343,Manuel Macias RGB,9,9748,0,13748,4000,785.4225463867188,3259.4356689453125,10278.872314453125,2987.462158203125,10787.972778320312,3531.4091796875,10533.422546386719,3259.4356689453125,-79.5936663137017,-1.1295039553147035
Manuel Macias RGB_9_9748_0_13748_4000.png,223.60861206054688,373.8096618652344,603.4569702148438,743.1481323242188,0.6005389094352722,Manuel Macias RGB,9,9748,0,13748,4000,413.5327911376953,558.4788970947266,9971.608612060547,373.8096618652344,10351.456970214844,743.1481323242188,10161.532791137695,558.4788970947266,-79.59370375188334,-1.129245427926052
Manuel Macias RGB_9_9748_0_13748_4000.png,756.4085083007812,1800.33349609375,1086.627197265625,2157.796142578125,0.6000260710716248,Manuel Macias RGB,9,9748,0,13748,4000,921.5178527832031,1979.0648193359375,10504.408508300781,1800.33349609375,10834.627197265625,2157.796142578125,10669.517852783203,1979.0648193359375,-79.59365261297259,-1.1293814021010775
Manuel Macias RGB_9_9748_0_13748_4000.png,1930.84228515625,1751.5008544921875,2209.712646484375,2013.9417724609373,0.5776259899139404,Manuel Macias RGB,9,9748,0,13748,4000,2070.2774658203125,1882.7213134765625,11678.84228515625,1751.5008544921875,11957.712646484375,2013.9417724609373,11818.277465820312,1882.7213134765625,-79.59353696721887,-1.1293721803929617
Manuel Macias RGB_9_9748_0_13748_4000.png,2116.8798828125,3019.924560546875,2527.363037109375,3465.86572265625,0.573308527469635,Manuel Macias RGB,9,9748,0,13748,4000,2322.1214599609375,3242.8951416015625,11864.8798828125,3019.924560546875,12275.363037109375,3465.86572265625,12070.121459960938,3242.8951416015625,-79.59351161405691,-1.1295023721056032
Manuel Macias RGB_9_9748_0_13748_4000.png,2454.156494140625,1520.7027587890625,2921.7333984375,2010.218505859375,0.5671346783638,Manuel Macias RGB,9,9748,0,13748,4000,2687.9449462890625,1765.4606323242188,12202.156494140625,1520.7027587890625,12669.7333984375,2010.218505859375,12435.944946289062,1765.4606323242188,-79.59347478656723,-1.1293609565562808
Manuel Macias RGB_9_9748_0_13748_4000.png,2288.62939453125,3615.40283203125,2663.962646484375,3997.0419921875,0.5503012537956238,Manuel Macias RGB,9,9748,0,13748,4000,2476.2960205078125,3806.222412109375,12036.62939453125,3615.40283203125,12411.962646484375,3997.0419921875,12224.296020507812,3806.222412109375,-79.59349609328733,-1.1295562920830418
Manuel Macias RGB_9_9748_0_13748_4000.png,3159.807373046875,2986.6845703125,3548.744873046875,3375.26904296875,0.5387107133865356,Manuel Macias RGB,9,9748,0,13748,4000,3354.276123046875,3180.976806640625,12907.807373046875,2986.6845703125,13296.744873046875,3375.26904296875,13102.276123046875,3180.976806640625,-79.59340770693605,-1.1294964454704144
Manuel Macias RGB_9_9748_0_13748_4000.png,2541.117431640625,2166.990966796875,2803.49755859375,2441.470703125,0.5386398434638977,Manuel Macias RGB,9,9748,0,13748,4000,2672.3074951171875,2304.2308349609375,12289.117431640625,2166.990966796875,12551.49755859375,2441.470703125,12420.307495117188,2304.2308349609375,-79.59347636079112,-1.1294125260056782
Manuel Macias RGB_9_9748_0_13748_4000.png,6.112761974334717,3140.66552734375,245.89508056640625,3569.779541015625,0.5340964198112488,Manuel Macias RGB,9,9748,0,13748,4000,126.00392127037048,3355.2225341796875,9754.112761974335,3140.66552734375,9993.895080566406,3569.779541015625,9874.00392127037,3355.2225341796875,-79.59373269744557,-1.1295131237428673
Manuel Macias RGB_9_9748_0_13748_4000.png,1000.5120239257812,3723.69384765625,1294.730712890625,3990.233154296875,0.5255028009414673,Manuel Macias RGB,9,9748,0,13748,4000,1147.6213684082031,3856.9635009765625,10748.512023925781,3723.69384765625,11042.730712890625,3990.233154296875,10895.621368408203,3856.9635009765625,-79.59362985110737,-1.1295611488661412
Manuel Macias RGB_9_9748_0_13748_4000.png,1636.33447265625,3684.094482421875,1906.5216064453125,3977.033447265625,0.5239036083221436,Manuel Macias RGB,9,9748,0,13748,4000,1771.4280395507812,3830.56396484375,11384.33447265625,3684.094482421875,11654.521606445312,3977.033447265625,11519.428039550781,3830.56396484375,-79.59356705242274,-1.1295586219826275
Manuel Macias RGB_9_9748_0_13748_4000.png,4.17861270904541,305.6427307128906,191.6553497314453,677.7239379882812,0.4966142773628235,Manuel Macias RGB,9,9748,0,13748,4000,97.91698122024536,491.68333435058594,9752.178612709045,305.6427307128906,9939.655349731445,677.7239379882812,9845.916981220245,491.68333435058594,-79.59373552496085,-1.1292390344574152
Manuel Macias RGB_9_9748_0_13748_4000.png,2744.675048828125,3623.484375,2984.419189453125,3852.834716796875,0.496218740940094,Manuel Macias RGB,9,9748,0,13748,4000,2864.547119140625,3738.1595458984375,12492.675048828125,3623.484375,12732.419189453125,3852.834716796875,12612.547119140625,3738.1595458984375,-79.5934570080075,-1.1295497773119616
Manuel Macias RGB_9_9748_0_13748_4000.png,651.0990600585938,3721.76904296875,933.4848022460938,3998.03955078125,0.4903010427951813,Manuel Macias RGB,9,9748,0,13748,4000,792.2919311523438,3859.904296875,10399.099060058594,3721.76904296875,10681.484802246094,3998.03955078125,10540.291931152344,3859.904296875,-79.59366562216,-1.1295614303502035
Manuel Macias RGB_9_9748_0_13748_4000.png,3047.719970703125,3610.10546875,3284.275390625,3889.422607421875,0.4835438728332519,Manuel Macias RGB,9,9748,0,13748,4000,3165.9976806640625,3749.7640380859375,12795.719970703125,3610.10546875,13032.275390625,3889.422607421875,12913.997680664062,3749.7640380859375,-79.59342666094707,-1.1295508880587508
Manuel Macias RGB_9_9748_0_13748_4000.png,12.99656105041504,3698.837646484375,399.2904357910156,3994.031005859375,0.4833205938339233,Manuel Macias RGB,9,9748,0,13748,4000,206.14349842071533,3846.434326171875,9760.996561050415,3698.837646484375,10147.290435791016,3994.031005859375,9954.143498420715,3846.434326171875,-79.59372462978573,-1.1295601410454699
Manuel Macias RGB_9_9748_0_13748_4000.png,1407.7845458984375,1476.5206298828125,1872.432861328125,1932.46533203125,0.4830930233001709,Manuel Macias RGB,9,9748,0,13748,4000,1640.1087036132812,1704.4929809570312,11155.784545898438,1476.5206298828125,11620.432861328125,1932.46533203125,11388.108703613281,1704.4929809570312,-79.5935802723544,-1.1293551209176418
Manuel Macias RGB_9_9748_0_13748_4000.png,2611.35986328125,2602.964111328125,2925.596923828125,2915.234619140625,0.4827660620212555,Manuel Macias RGB,9,9748,0,13748,4000,2768.4783935546875,2759.099365234375,12359.35986328125,2602.964111328125,12673.596923828125,2915.234619140625,12516.478393554688,2759.099365234375,-79.59346667925644,-1.129456064641519
Manuel Macias RGB_9_9748_0_13748_4000.png,2275.298583984375,1978.1353759765625,2569.33740234375,2282.53369140625,0.477872759103775,Manuel Macias RGB,9,9748,0,13748,4000,2422.3179931640625,2130.3345336914062,12023.298583984375,1978.1353759765625,12317.33740234375,2282.53369140625,12170.317993164062,2130.3345336914062,-79.59350152726115,-1.129395881179248
Manuel Macias RGB_9_9748_0_13748_4000.png,1812.0909423828125,2009.541748046875,2072.648193359375,2236.3203125,0.4721167087554931,Manuel Macias RGB,9,9748,0,13748,4000,1942.3695678710938,2122.9310302734375,11560.090942382812,2009.541748046875,11820.648193359375,2236.3203125,11690.369567871094,2122.9310302734375,-79.59354984372071,-1.1293951725383597
Manuel Macias RGB_9_9748_0_13748_4000.png,1261.744384765625,2785.79833984375,1546.680908203125,3091.764892578125,0.4698685109615326,Manuel Macias RGB,9,9748,0,13748,4000,1404.212646484375,2938.7816162109375,11009.744384765625,2785.79833984375,11294.680908203125,3091.764892578125,11152.212646484375,2938.7816162109375,-79.59360402003583,-1.1294732632815034
Manuel Macias RGB_9_9748_0_13748_4000.png,1786.92529296875,3072.90625,2068.228759765625,3378.4775390625,0.4662583768367767,Manuel Macias RGB,9,9748,0,13748,4000,1927.5770263671875,3225.69189453125,11534.92529296875,3072.90625,11816.228759765625,3378.4775390625,11675.577026367188,3225.69189453125,-79.59355133288744,-1.129500725462981
Manuel Macias RGB_9_9748_0_13748_4000.png,1602.9803466796875,2537.262939453125,1866.7249755859373,2775.785888671875,0.4644592702388763,Manuel Macias RGB,9,9748,0,13748,4000,1734.8526611328125,2656.5244140625,11350.980346679688,2537.262939453125,11614.724975585938,2775.785888671875,11482.852661132812,2656.5244140625,-79.59357073447,-1.1294462464783617
Manuel Macias RGB_9_9748_0_13748_4000.png,1294.027587890625,1198.9747314453125,1641.7064208984375,1500.6883544921875,0.4561054110527038,Manuel Macias RGB,9,9748,0,13748,4000,1467.8670043945312,1349.83154296875,11042.027587890625,1198.9747314453125,11389.706420898438,1500.6883544921875,11215.867004394531,1349.83154296875,-79.59359761194477,-1.129321173800689
Manuel Macias RGB_9_9748_0_13748_4000.png,1884.101806640625,1087.4510498046875,2199.46240234375,1427.289306640625,0.449402779340744,Manuel Macias RGB,9,9748,0,13748,4000,2041.7821044921875,1257.3701782226562,11632.101806640625,1087.4510498046875,11947.46240234375,1427.289306640625,11789.782104492188,1257.3701782226562,-79.59353983584997,-1.1293123236793436
Manuel Macias RGB_9_9748_0_13748_4000.png,1940.399658203125,3708.749755859375,2182.6318359375,3941.31591796875,0.4472610652446747,Manuel Macias RGB,9,9748,0,13748,4000,2061.5157470703125,3825.0328369140625,11688.399658203125,3708.749755859375,11930.6318359375,3941.31591796875,11809.515747070312,3825.0328369140625,-79.59353784926203,-1.1295580925598412
Manuel Macias RGB_9_9748_0_13748_4000.png,830.0758056640625,250.7113037109375,1203.6331787109375,665.4927978515625,0.4393000602722168,Manuel Macias RGB,9,9748,0,13748,4000,1016.8544921875,458.10205078125,10578.075805664062,250.7113037109375,10951.633178710938,665.4927978515625,10764.8544921875,458.10205078125,-79.59364301542284,-1.1292358201588233
Manuel Macias RGB_9_9748_0_13748_4000.png,1196.298828125,1927.7489013671875,1565.6214599609375,2308.798828125,0.4364438652992248,Manuel Macias RGB,9,9748,0,13748,4000,1380.9601440429688,2118.2738647460938,10944.298828125,1927.7489013671875,11313.621459960938,2308.798828125,11128.960144042969,2118.2738647460938,-79.59360636086774,-1.1293947267686033
Manuel Macias RGB_9_9748_0_13748_4000.png,2856.60009765625,3870.40625,3111.728271484375,3996.20361328125,0.4349795877933502,Manuel Macias RGB,9,9748,0,13748,4000,2984.1641845703125,3933.304931640625,12604.60009765625,3870.40625,12859.728271484375,3996.20361328125,12732.164184570312,3933.304931640625,-79.59344496614467,-1.129568456036297
Manuel Macias RGB_9_9748_0_13748_4000.png,1388.872802734375,917.047119140625,1688.5797119140625,1229.162841796875,0.4321658909320831,Manuel Macias RGB,9,9748,0,13748,4000,1538.7262573242188,1073.10498046875,11136.872802734375,917.047119140625,11436.579711914062,1229.162841796875,11286.726257324219,1073.10498046875,-79.59359047853616,-1.1292946863735966
Manuel Macias RGB_9_9748_0_13748_4000.png,2801.439453125,3362.694091796875,3064.012939453125,3609.4482421875,0.4315482974052429,Manuel Macias RGB,9,9748,0,13748,4000,2932.7261962890625,3486.0711669921875,12549.439453125,3362.694091796875,12812.012939453125,3609.4482421875,12680.726196289062,3486.0711669921875,-79.59345014441249,-1.1295256481770612
